demo_id,year,tier,state,region,gender,total_youth_soccer_players_est,participation_rate_pct,median_hh_income_usd,avg_annual_cost_usd,pct_white,pct_hispanic_latino,pct_black,pct_asian,pct_other,dropout_age_avg,primary_dropout_reason,notes,source
D001,2024,1,US National,National,Both,4000000,12.5,75000,600,48,28,8,10,6,13,Cost / loss of interest,AYSO + USYS recreational estimates,Aspen Institute Project Play 2024
D002,2024,2,US National,National,Both,1200000,3.7,85000,2500,52,22,7,12,7,14,Cost / burnout,Travel/competitive tier,Aspen Institute Project Play 2024
D003,2024,3,US National,National,Both,150000,0.5,110000,9000,62,14,5,14,5,15,Cost / not skilled enough,ECNL + MLS NEXT elite private,Aspen Institute Project Play 2024
D004,2024,4,US National,National,Boys,20000,0.06,135000,1500,58,18,8,12,4,17,Injury / not signed,MLS NEXT Pro Academy (free but selective),Aspen Institute / MLS 2024
D005,2024,3,CA,West,Both,35000,0.5,110000,9500,55,20,4,17,4,15,Cost,California ECNL/MLS NEXT estimate,CA Youth Soccer / Aspen 2024
D006,2024,3,CA,SoCal,Boys,18000,0.6,115000,9800,50,25,4,17,4,15,Cost,SoCal ECNL/MLS NEXT,Gemini research / Aspen 2024
D007,2022,1,US National,National,Both,3800000,11.9,70000,550,49,27,8,10,6,13,Cost / loss of interest,Pre-inflation baseline,Aspen Institute 2022
D008,2020,1,US National,National,Both,3200000,9.8,65000,450,50,25,8,11,6,13,Cost / COVID impact,COVID year; participation dip,Aspen Institute 2020
D009,2024,1,TX,South,Both,420000,13.1,72000,580,40,42,10,5,3,13,Cost,Texas heavy Hispanic participation,Aspen / USYS TX 2024
D010,2024,1,FL,Southeast,Both,350000,12.8,71000,590,44,35,12,6,3,12,Cost,Florida demographics,Aspen / USYS FL 2024
D011,2024,2,CA,West,Both,180000,2.7,95000,3000,50,22,6,16,6,14,Cost,CA competitive travel,Aspen / CA Youth Soccer 2024
D012,2024,3,CA,SoCal,Girls,12000,0.4,118000,11000,52,18,4,20,6,15,Cost,SoCal ECNL Girls; higher travel costs,Gemini / TopDrawerSoccer 2024
D013,2018,2,WI,Midwest,Both,,,,1500,,,,,,,Cost / burnout,PEER-REVIEWED n=949 Wisconsin survey; median $1500 IQR $500-$3000; 60% HH income >$100k; 8% <$50k; 70%+ have bachelors,Bocarro et al. 2018 DOI:10.1016/j.ptsp.2018.05.014
D014,2016,2,US National,National,Both,,,,5500,40,20,8,10,22,14,Cost / exclusion,PEER-REVIEWED national estimate; 1/3 from >$75k families; 11% from <$25k; median annual $1500 club sports,Bairner et al. 2016 DOI:10.1080/14660970.2016.1267620
D015,2016,3,US National,National,Boys,,,,1500,65,12,5,12,6,15,Cost,PEER-REVIEWED; club vs school conflict; residential academies primarily for those who can pay,Svensson et al. 2019 DOI:10.1080/00336297.2019.1627561
